Ticker
AAPL
MSFT
GOOGL
AMZN
NVDA
TSLA
META
BRK.B
UNH
JNJ
JPM
V
PG
XOM
COST
MA
HD
LLY
AVGO
ABBV
MRK
PEP
KO
WMT
CVX
MCD
ADBE
ORCL
INTC
CRM
CSCO
NFLX
PFE
AMD
T
DIS
TXN
BA
NKE
CAT
AMGN
LOW
QCOM
GE
IBM
SBUX
GILD
DE
MDT
LMT
MSTR
VOO
VST
BLK
IVZ
HOOD
COIN
VZ
